Regulator	Target	MI
ELOA2	ATR	1
ELOA3	ATR	1
PTTG1	RAC1	1
NFKB1	STK39	1
HIF1A	TWIST1	1
CD247	FASLG	1
USF2	CXCR2	1
USF1	CXCR4	1
USF2	CXCR4	1
BTF3	EPHB2	1
HOXB7	THBS2	-1
CEBPA	CEBPE	1
HOXA5	PTN	1
AHR	UGT1A1	1
MXD1	PTEN	-1
MED1	FADS1	1
PPARG	REN	-1
IL12A	FOS	1
IL12B	FOS	1
ONECUT1	ONECUT3	1
SP1	CD151	1
MSR1	STAT2	1
YEATS4	TP53	-1
FOSL2	GJA1	1
PTGDR	RANBP1	1
SP1	UGCG	1
KDM4B	AR	1
SP1	UGDH	1
EP300	GADD45A	1
REL	BCL2A1	1
KLF4	HBA1	1
KLF4	HBA2	1
NPAS2	KLF15	1
FOXP3	IFNG	-1
PRKCA	TERT	1
HIST1H3E	CCND1	1
HIST1H4C	CCND1	1
PHOX2B	ALK	1
ING1	CDKN1A	1
ING4	CDKN1A	1
ING4	CDKN1B	1
ATF2	KAT5	-1
JUND	TIMP1	1
EPHB3	TCF7	1
IRF4	CD68	-1
IRF8	CD68	-1
SP1	CLDN3	1
MED1	FHL2	1
ADH1A	DBP	1
ADH1B	DBP	1
ADH1C	DBP	1
HDAC1	GRIN2B	1
E2F1	HES1	-1
HES1	E2F1	-1
CEBPB	GDF15	1
ELK1	EGR1	1
LMX1B	COL4A4	1
HIF1A	E2F3	1
SP1	WIF1	-1
USF1	GCK	1
FGF2	ANGPT2	1
IRF1	CDK1	-1
IRF1	CDK2	-1
IRF1	CDK4	-1
ETV6	GAS2	-1
ETS1	TRB	-1
NR3C1	NFKB1	-1
PRDX4	FOXO1	-1
EP300	CDX1	1
SP1	CTSL	1
SP3	CTSL	1
STAT3	MMP1	1
STAT3	MMP2	1
STAT3	MMP3	1
CCNT1	MYB	1
NFATC2	GBP3	1
MLLT10	CTNNB1	1
E2F4	TOPBP1	-1
STAT1	IVL	-1
HEY1	E2F1	-1
FOXA1	VTN	1
IRF1	SOCS1	1
IRF1	SOCS2	1
IRF3	SOCS2	1
SMARCA4	FOS	-1
CREBBP	SLC2A1	1
HELZ2	TIAM2	1
NFKB1	COL2A1	-1
NFATC3	TNF	1
AGAP2	CCND1	1
RPTOR	CYCS	1
BRCA1	ESR1	1
OTX2	CCNG2	1
SP1	ALOX5	1
SP1	CTGF	1
TCF4	NRXN1	1
EGR2	CEBPB	1
MEF2D	CD14	1
STAT4	IL2	-1
STAT1	IL6	-1
IL8	STAT1	-1
IL8	STAT2	-1
NFATC1	TNF	1
NFATC2	TNF	1
CLOCK	BHLHE40	1
CLOCK	BHLHE41	1
HDAC1	TP53	-1
HDAC9	TP53	-1
NFKBIA	IL1B	-1
CLDN1	SMAD4	-1
HOXA1	MYC	1
PTGDR	XRCC1	1
MYCN	MCM10	1
NFYA	CYP2A6	1
EGR2	GLI1	-1
GLI1	EGR2	-1
NFKBIA	RELA	-1
TFDP1	POLA1	1
TFDP2	POLA1	1
CDC6	CTNNB1	1
TP63	NOTCH1	-1
PTK2B	KLK3	-1
POU5F1	EOMES	-1
CTNNB1	CDX1	1
CTNNB1	CDX4	1
HSF2	TNFSF11	1
IL12B	CD4	1
NFKB1	FGF8	1
RXRA	FDFT1	1
RETN	SREBF1	1
MBD2	NANOG	-1
HIPK2	VEGFA	-1
GATA1	GP1BA	1
GATA1	GP1BB	1
ZBTB17	BCL2	1
RUNX2	SMAD6	1
SMAD6	RUNX2	1
TWIST1	RAP1A	-1
TWIST2	RAP1A	-1
CTSL1	GLI2	1
NR5A1	CYP19A1	1
JUN	MAT2A	1
RBMX	FOSL1	-1
PPARD	ANGPTL4	-1
DACH1	FOS	-1
SP3	ETF1	-1
ATM	MCL1	1
CDKN2A	KLK3	-1
NFATC1	FASLG	1
NFATC2	FASLG	1
NFATC3	FASLG	1
TP53	IFI16	1
ENC1	TCF7L2	1
HIC1	SIRT1	-1
RUNX1	GP1BA	1
STAT5A	FOXP3	1
STAT5B	FOXP3	1
TFAP2A	HSPD1	-1
UHRF1	RB1	1
REST	DGCR5	-1
ETS1	ECE1	1
NFATC2	NR4A1	1
TRAC	PRF1	1
MTA1	PTEN	-1
KIR3DL1	E2F1	1
E2F1	KIR3DL1	1
NR3C1	ICAM1	-1
HDAC1	OPRM1	-1
HDAC2	OPRM1	-1
DNAJB1	MYC	1
VDR	CST5	1
EZH2	MYC	-1
PRKDC	KLK3	1
PPARG	MYC	-1
CTDP1	RAD51D	1
NFE2L2	GCLC	-1
MTA1	SMAD7	-1
STAT5B	CCL2	1
STAT5A	CCL2	1
SREBF1	ELOVL6	1
SREBF2	ELOVL6	1
SATB1	MKI67	1
SP1	KRT19	1
ESRRA	SNAI1	-1
ESRRA	SNAI2	-1
SP1	KRT16	1
CEBPB	GFER	-1
JUNB	HBP1	1
EPAS1	ABCG2	1
MRTFA	FOS	1
NR3C1	ETS1	-1
SP1	ACACB	1
MED1	CYP7A1	1
BRD2	GLI2	1
ADIRF	PPARG	1
MYC	CDK4	1
CDK4	MYC	1
MYC	CDK6	1
CDK9	MYB	1
PPARG	LEP	-1
ONECUT2	SYTL4	-1
IL23R	NOS2	1
IL23A	NOS2	1
POU5F1	DPPA4	1
RXRA	KLK3	-1
RXRB	KLK3	-1
RXRG	KLK3	-1
PROX1	SIX3	1
MYB	CD34	1
MYC	CD38	1
MECP2	RBFOX1	-1
CD36	NR1H2	1
CIITA	PSMC5	1
CD36	NR1H3	1
HDAC2	DNMT1	-1
MAX	CDK4	1
CCT5	MYC	1
PIAS2	MYCN	-1
STAT3	FAS	-1
CCT3	MYC	1
YY1	POSTN	-1
EZH2	ALDH1A1	-1
TFDP1	UXT	-1
TFDP2	UXT	-1
BRCA1	VEGFA	1
STAT5A	CDK6	1
STAT5B	CDK6	1
LEF1	AXIN2	1
MLST8	CYCS	1
ACTL6A	PTMA	1
NELFE	ATR	1
NELFA	ATR	1
NELFB	ATR	1
NELFB	ATM	1
NELFE	ATM	1
NELFA	ATM	1
CDKN1A	NOTCH1	1
NOTCH1	CDKN1A	1
CDKN1A	NOTCH2	1
CDKN1B	NOTCH2	1
FOXA1	XBP1	1
ESR1	AR	1
KLF4	PFKP	1
AR	ETV1	1
SIM2	BCL2	-1
STK11	CTSD	1
IRF1	PSMB9	1
RAB27A	MITF	1
MSC	CTLA4	1
FOXA3	ALB	1
FOXA1	ALB	1
ETS2	MDM2	1
NR1I2	NOD1	-1
NR1I2	NOD2	-1
FOXA1	AFP	1
FOXA3	AFP	1
ETS1	IL2RB	1
TP53	VDR	1
EGFR	GLI2	-1
STAT1	UPP1	1
HIF1A	BID	-1
IL12A	NOS2	1
IL12B	NOS2	1
RXRA	ANKRD1	1
MYB	CDO1	1
MYB	NRAS	-1
ATM	FOXM1	1
CBFB	PF4	1
FOXO3	APP	1
NCOA6	TIAM2	1
NCOA1	TIAM2	1
NCOA2	TIAM2	1
FOS	FOSL1	1
FOS	FOSL2	1
TFDP2	TOP2A	-1
TFDP1	TOP2A	-1
LRP1	SREBF1	-1
SREBF1	LRP1	-1
LRP1	SREBF2	-1
SREBF2	LRP1	-1
IRF1	IFNG	1
HDAC3	GRHL1	-1
IL12A	EOMES	-1
IL12B	EOMES	-1
HDAC1	GRIA2	-1
HDAC2	GRIA2	-1
EP300	ITGA2B	1
FOSL1	IL2	1
FOSL1	IL6	1
TYK2	CXCL9	1
KAT2A	CAD	1
TYK2	CXCL1	1
REST	CD59	-1
COL1A1	NFKB1	-1
NFKB1	COL1A2	-1
DCN	FOXO1	1
TCF7L2	SALL4	1
GATA1	AGGF1	1
VDR	TPT1	1
EP300	TERT	1
FOXO1	FABP4	1
TBL1XR1	TNFRSF21	1
SMARCD3	CPT2	1
FOXA1	DSCAM	1
TP63	VDR	1
NR3C2	CD40	1
CREM	ACE	1
PTPN11	A2M	-1
FOS	IGFBP7	1
IRF1	TNFSF10	1
RELA	RGS4	1
RXRA	TRIB3	1
NR3C2	CCR5	1
NR3C2	CCR6	1
MYCN	LRRN3	-1
HELZ2	APOA1	1
HELZ2	APOA2	1
HELZ2	APOA5	1
DST	FOXO3	1
TFDP1	E2F2	1
TFDP2	E2F2	1
FOSL1	IVL	1
APAF1	TP53	1
TP53	APAF1	1
MSI1	ROBO3	1
STAT1	CD40LG	1
HEYL	AR	-1
TGFA	GLI2	1
CREM	DUSP1	-1
CREM	DUSP4	-1
ATP10B	GLI2	-1
KAT2A	FABP7	1
KAT2B	FABP7	1
PPARG	IL2	-1
PPARG	IL4	-1
MOV10	CHD1	-1
CBFB	NR4A3	1
PPARGC1A	CYCS	1
PPARGC1B	CYCS	1
TP53	ARID3A	1
DAPK1	FOXO1	1
BCL2L1	STAT3	1
STAT3	BCL2L1	1
STAT6	BCL2L1	1
MYB	GSTM1	1
STAT1	BCL2L1	1
SOX2	PLAC1	-1
FOXO1	CAT	1
FOXO3	CAT	1
FOXO6	CAT	1
MYC	SHMT1	1
SNAI2	JAG1	1
JUN	LDHA	1
MTA1	EGFR	1
SP1	CAV1	1
ATF4	CHAC1	1
TNRC6B	MECP2	-1
TNRC6C	MECP2	-1
TNRC6A	MECP2	-1
OXT	ESR1	-1
HIST2H3C	CCND1	1
HSF2	MAPK8	-1
CHD9	ME1	1
PER1	SLC5A1	-1
TYK2	MPO	1
MAX	SHMT1	1
NOTUM	TCF7L2	1
SP1	EPOR	-1
STAT1	LY96	1
SNW1	HES5	1
HDAC1	TJP1	-1
GATA3	PAEP	1
TYMS	MYC	1
NF1	ALAS1	1
SNW1	HEYL	1
VDR	CYP7A1	-1
SNW1	HEY1	1
SNW1	HEY2	1
CREBBP	ALAS1	1
TNFRSF11B	CTNNB1	1
PCSK6	CTNNB1	1
TNF	CEBPA	-1
MYB	TRDC	1
JUND	LAMA3	1
ZHX2	CCNE1	-1
TBL1X	CPT1A	1
ERG	EPB41L4B	1
TP53	PML	1
PML	TP53	1
SP1	TLR2	1
ATF2	HES1	1
TP53	IPO7	-1
TP73	PML	1
PLAGL1	ABCC6	1
RUNX2	SP1	1
EDN1	TCF7L2	1
NR1H4	CYP7A1	-1
PAX5	TERT	1
RB1	TFDP1	-1
ZHX2	CCNA2	-1
MAF	ANPEP	-1
ANGPT1	ELF2	1
HES1	MAP2	-1
SP1	PDIA2	1
STAT3	TWIST1	1
MED13L	PLIN1	1
TBX5	GJA5	1
PIAS1	MUC1	-1
PIAS2	MUC1	-1
PIAS3	MUC1	-1
PIAS4	MUC1	-1
IL4	CD36	1
CREBBP	CYP7A1	1
CDK8	ANGPTL4	1
RELA	TNFSF10	1
ZIC1	BCL2L13	1
MMP13	RUNX2	1
RUNX2	MMP13	1
E2F1	BIRC5	1
TFDP1	SIRT1	1
TFDP2	SIRT1	1
ZBTB16	SOX9	1
TYK2	FOS	1
SP1	KRT5	1
SREBF1	BCL2L1	-1
SOX9	COL2A1	1
TFCP2	TF	1
SP1	TMPO	1
LMO2	FGF2	1
CDX2	SLC15A1	1
KLF10	STMN1	-1
KLF4	GHRL	1
YY1	TNFRSF10B	-1
TNFRSF10B	YY1	-1
RXRA	TNFRSF21	1
FOSL2	UGT2B15	1
RUVBL2	CAD	1
RUVBL1	CAD	1
TSPO	MYC	1
TEAD1	ATP6V0A2	1
IL10	CD80	-1
IL10	CD86	-1
ZBTB17	CEBPD	-1
ZIC1	EIF3M	1
ELOA	FANCD2	1
ELOB	FANCD2	1
ELOC	FANCD2	1
JUN	CCL2	1
JUN	CCN1	1
CDX2	FUT2	1
HNF4A	APOA1	1
SOX9	SOX10	-1
TRIM16	DES	-1
BMP2	CTNNB1	1
ELOA3B	CHEK1	1
ELOA3D	CHEK1	1
SIRT1	HBE1	-1
GATA3	TEK	1
HLA-DRB1	FOS	1
PAWR	KLK3	1
TFDP1	MCM3	1
TFDP1	CDC45	1
TFDP2	CDC45	1
SMAD3	MMP9	-1
TCEA1	RAD51D	1
HIF1A	SLC29A1	-1
IL10	CCL2	-1
IL10	CCL3	-1
IL10	CCL4	-1
IL10	CCL5	-1
IL13	CCL2	-1
BIRC7	MITF	1
JUN	CD82	1
DCT	LEF1	1
TP53	TRIM22	1
SIRT1	COL1A2	-1
MAML1	WWC1	1
MAML2	WWC1	1
MAML3	WWC1	1
CDK7	FANCI	1
FOXO3	STK11	1
FOXO4	STK11	1
CDK9	FANCI	1
CLOCK	PPARA	1
CREB1	PSEN1	1
STAT3	IKBKE	1
PCNA	TFF1	1
CCNC	LPL	1
RBBP4	TERT	-1
RBBP7	TERT	-1
ETS1	IL2	-1
CBFB	MYB	1
MLLT3	BAX	-1
GATA2	WT1	1
GATA1	WT1	1
JUN	CDK1	1
FOXO1	A2M	1
TP53	RB1	1
KAT5	HSPD1	1
NOTCH2	GZMB	1
WT1	EGFR	-1
FLI1	FOXM1	1
DRAM1	E2F1	1
E2F1	DRAM1	1
MAF	BGLAP	1
EVX1	GSC	-1
NFKB1	BIRC2	1
NFKB1	BIRC3	1
NFKB1	BIRC5	1
HDAC1	KLF4	-1
HDAC2	KLF4	-1
CBX3	MYC	1
MYB	CBX4	1
EPAS1	SOX2	1
RBL2	CDC6	-1
CREBBP	LDHA	1
PSENEN	CREB1	1
WT1	NDRG2	1
CEBPA	ADIPOQ	1
CEBPB	ADIPOQ	1
CDX2	LCT	1
CCNH	FANCI	1
CCNK	FANCI	1
CDK8	LPL	1
TP53	SCN3B	1
ELF3	NFKB1	1
IRF8	TLR3	-1
IL18	IL13	1
HDAC1	TERT	-1
JUNB	COL1A2	1
HDAC2	TERT	-1
RELA	IL1B	1
RELA	IL18	1
RELA	IL10	1
SSRP1	MDM2	1
NGFR	MITF	1
CCNC	ANGPTL4	1
TYK2	IL6	1
MEF2A	MAPK14	1
HDAC3	ABCA1	-1
HDAC1	ABCB1	-1
HDAC1	ITGA2B	-1
TP53	SFN	1
LDLR	CREBBP	1
TP73	SFN	1
SSRP1	MDC1	1
HNF1A	PKLR	1
NR1H4	KRT13	1
RBL1	CDK1	-1
RBL2	CDK1	-1
CREB1	DUSP1	1
HDAC1	KLK3	-1
HDAC7	KLK3	-1
STAT5A	CISH	1
STAT5B	CISH	1
HDAC1	TFF1	-1
BACH1	MMP1	1
NR3C1	ELK1	-1
CREB1	IL10	1
CHD9	ANGPTL4	1
VDR	CDH1	1
EZH2	APC	-1
MYB	CLTA	1
POU5F1	TDGF1	1
NKX2-2	NPPA	1
NKX2-5	NPPA	1
EP300	VCAM1	1
TGS1	APOA1	1
TGS1	APOA2	1
TGS1	APOA5	1
ETV5	ICAM1	1
NRIP1	KLK3	1
STAT3	IL23A	1
FOS	CSF2	1
VDR	CD14	1
CREBBP	ACSL1	1
STAT6	IL1R1	1
NCOA6	HSF1	1
ITGB2	HIF1A	1
HIF1A	ITGB2	1
GLI2	TNFRSF10B	-1
GLI1	TNFRSF10B	-1
CHD9	PEX11A	1
TP53	ZNF385A	1
RUNX1	MECOM	1
TP53	TYRP1	1
TYRP1	TP53	1
CDK11A	CREB1	1
SPDEF	RETNLB	1
TBL1XR1	ABCB4	1
STAT3	IL1RN	1
STAT3	IL23R	1
TYK2	TNF	1
PEG3	TP53	1
DDX54	TFF1	-1
NELFE	FANCI	1
NELFA	FANCI	1
NELFB	FANCI	1
ELK1	MUC4	1
DGKE	STAT2	1
BGLAP	VDR	1
SREBF1	GGPS1	1
SREBF2	GGPS1	1
FOXO1	IL6	1
AHR	CCNG2	1
CREBBP	CPT2	1
TP63	PERP	1
ETS2	ICAM1	1
KLF4	HSPA8	1
CCNT1	ATR	1
CCNT2	ATR	1
FOXA2	SLC2A2	1
FOXO6	G6PC	1
FOXO1	G6PC	1
FOXO3	G6PC	1
FOXO4	G6PC	1
HOXA10	SNAI1	-1
IL2RA	STAT1	1
IL2RA	STAT3	1
STAT4	IL2RA	1
CCNT1	ATM	1
CCNT2	ATM	1
SP1	GSTP1	1
EP300	CRABP1	1
E2F1	NOX4	1
CARM1	TIAM2	1
VDR	EGFR	-1
KLF15	RHO	-1
STAT4	S100A4	1
BRCA1	CXCL1	-1
HSF1	ATG7	1
WT1	CD14	1
E2F1	NPAT	1
NPAT	E2F1	1
NPAT	E2F2	1
NPAT	E2F3	1
NPAT	E2F4	1
CALR	YY1	1
MSX2	GLI2	-1
TRAC	EOMES	1
PURA	AR	-1
NR1I2	FOSL1	1
SPI1	PRTN3	1
MYC	CEBPA	-1
CEBPA	MYC	-1
MYC	CEBPD	-1
CEBPE	MYC	-1
TP53	THBS1	1
NR3C1	IGFBP1	1
RUNX1	GPAM	1
RBPJ	PTCRA	1
MED23	KISS1	1
MYCN	BIRC5	1
KLF12	PRL	-1
NANOG	SOX1	1
NANOG	SOX2	1
SOX2	NANOG	1
EGR1	EAPP	1
MCL1	STAT3	1
STAT3	MCL1	1
ELK1	TNFRSF10B	1
ETS2	MMP9	1
ETS1	MMP1	1
ETS1	MMP9	1
ERF	ETS2	-1
SMARCD3	CYP7A1	1
MYC	NFE2	-1
MAX	UBTF	1
TP53	GLI1	1
MAPK8	BAX	1
ETV4	MMP7	1
STAT3	OAS1	-1
MCM10	E2F2	1
MCM10	E2F3	1
MCM10	E2F1	1
DDIT3	RTN3	1
MAX	CEBPA	-1
MAX	CEBPD	-1
STAT4	ANXA2	-1
TBL1X	GLIPR1	1
SP1	EGFR	-1
STAT3	FGF1	-1
TRPS1	RUNX2	-1
CREBBP	ACOX1	1
ETS1	NKX3-1	1
JUN	CSF1	1
JUN	CSF2	1
YY1	CDC6	1
CDC6	YY1	1
JUN	CREM	1
PPARD	ANG	-1
EP300	GATA1	1
EP300	GATA3	1
MYC	UBTF	1
C1QBP	MYC	1
TCF4	CTNNB1	1
TCF7	CTNNB1	1
CTNNB1	TCF7	1
EPAS1	SERPINE1	1
TBL1XR1	PLIN2	1
LITAF	TP53	1
TBX3	CTNNB1	1
FOXA2	LPL	1
APBB1	CD82	1
STAT3	IL17A	1
STAT3	IL17F	1
CTNNB1	TBXT	1
JUN	ACTA1	1
POU2F1	CCND1	1
STAT1	IL12A	1
STAT3	IL12A	1
STAT4	IL12A	1
SUPT4H1	RAD51D	1
MYB	COPA	1
XBP1	FKBP14	1
SMARCD3	TXNRD1	1
LHX3	FSHB	1
FOXM1	FOS	1
IRF1	TERT	-1
WT1	MYCN	-1
FOXA1	AP1B1	1
TTF2	TPO	1
ETS1	ANGPT1	1
ETS1	ANGPT2	1
ETS2	ANGPT2	1
HIST2H2AA3	KLK2	1
HIST2H2AA3	KLK3	1
KAT5	PTMA	1
XBP1	LMNA	1
CREB3L3	CIDEC	1
REST	TUBB3	-1
PML	EGFR	-1
E2F4	PLK1	-1
ETS1	CA9	-1
EZH2	PIP5K1C	-1
HOXB7	FGF2	1
PPARG	GK	1
POU2F1	HBG1	-1
HDAC2	BMP7	-1
FOXF1	GH2	1
ARNT	ADORA2A	1
TGFB1	CEBPA	-1
SOX9	HES1	1
REL	CCL2	1
SMARCD3	CYP1A1	1
TRIM28	MYC	-1
RELA	TNFAIP3	1
CBFB	MMP13	1
E2F1	HSPA5	-1
HSPA5	E2F1	-1
TCF4	PLD1	1
TP53	TRIAP1	1
CTCF	APP	1
BTRC	CTNNB1	1
NOTCH3	HEYL	1
NOTCH1	HEYL	1
FOXA1	GCG	1
FOXA2	GCK	1
HEY2	NOTCH1	1
NOTCH1	HEY2	1
HEY1	NOTCH3	1
NOTCH3	HEY1	1
HEY1	NOTCH4	1
HEY2	NOTCH3	1
NOTCH3	HEY2	1
NOTCH4	HEY1	1
HEY2	NOTCH4	1
NOTCH4	HEY2	1
HEY1	NOTCH1	1
NOTCH1	HEY1	1
EP300	TGFA	1
EGR2	FASLG	-1
LMO2	ZEB1	-1
EP300	TFF3	1
TAF9	HSPD1	1
SP1	CD14	1
RB1	BGLAP	1
SP1	CD1D	1
SRF	CCN1	1
HDAC2	TWIST1	-1
SOX2	EPHA1	1
SP1	CD44	1
PRMT5	CCNE1	-1
PRMT5	CCNE2	-1
HDAC7	AKAP12	-1
SP1	CD99	1
MLANA	MITF	1
SERPINB5	SMAD2	1
SERPINB5	SMAD3	1
GABPB1	MTERF1	1
BCL6	CDKN1A	-1
BCL6	CDKN2B	-1
SERPINE1	SMAD2	1
MECP2	MOBP	-1
SERPINE1	SMAD3	1
SMAD3	SERPINE1	1
SMAD4	SERPINE1	1
CHUK	MYC	1
STAT6	ITGB3	1
USF1	TOP3A	1
TOP3A	USF1	1
USF2	TOP3A	1
HIPK2	NOX1	-1
NAP1L1	MYC	1
HOXA10	BHLHE22	1
JUN	FOSL1	1
JUN	FOSL2	1
CREB1	IFNG	1
MAML1	FABP7	1
MAML2	FABP7	1
SP1	CCL2	1
MAML3	FABP7	1
FOSL1	CXCL8	1
YY1	TP53	1
CCND3	FABP4	1
ZBTB17	HMGCS2	1
EP300	TFF1	1
TP73	YY1	1
YY1	TP73	1
POU4F2	CCND1	1
STAT6	STAT1	-1
PIAS1	KLK3	1
PIAS3	KLK3	1
XBP1	CUL7	1
LDB1	MYB	1
FOXA3	G6PC	1
SMARCA4	CDH1	1
LDHA	MYC	1
MYC	LDHA	1
LDHB	MYC	1
EGR1	MYB	-1
MYB	EGR1	-1
PLXND1	VEGFA	1
HIST3H2BB	KLK2	1
HIST3H2BB	KLK3	1
CARM1	CPT1A	1
BACH2	XBP1	-1
CITED2	FOXO3	1
FOXO3	CITED2	1
NFKB1	NOX4	1
NFKB1	NOX5	1
CITED2	FOXO1	1
FOXO1	CITED2	1
SUPT16H	RAD51D	1
HIC1	LRP8	-1
PPARA	TXNIP	-1
E2F1	ESR1	1
CDK19	CEBPA	1
FKBP4	KLK3	1
NFKB1	NOS1	1
NFKB1	NOS2	1
NFKB1	NOS3	1
STAT1	CXCL10	-1
JUN	IGFBP7	1
MAML1	FLT4	1
MAML2	FLT4	1
MAML3	FLT4	1
VHL	VEGFA	-1
ERCC2	BCL2	-1
MAX	LDHA	1
IRF1	IL27	1
PPARA	NFKBIA	1
IRF8	IL1B	1
KAT2B	ZEB1	-1
FOXA1	INS	1
IRF1	IL10	1
RELA	IRF4	1
RELA	IRF7	1
RELA	IRF1	1
SMARCD3	CD36	1
FANCD2	RAD51D	1
RAD51D	FANCD2	1
TP53	PAX5	1
IL4R	IRF4	1
GCM2	CASR	1
SP1	CDK4	1
JUN	NEIL1	1
PKN1	KLK2	1
YY1	MUC4	-1
CHD9	CYP4A11	1
SMAD7	TGFBR1	-1
NFKB1	NOD2	1
KLK2	CTNNB1	1
KLK3	CTNNB1	1
CTNNB1	KLK3	1
FOSL2	MYB	1
MYC	FOSL1	1
PKN1	KLK3	1
MED1	PPARA	1
SSRP1	FANCD2	1
LEF1	MYC	1
HOXA10	ID2	1
ETS1	BAX	-1
TBP	BGLAP	1
IL12RB1	GADD45B	1
IL12RB2	GADD45B	1
LMO2	ERG	1
TBL1X	TIAM2	1
TRIM24	KLK3	1
FOXH1	GSC	1
HES1	NOTCH1	1
NOTCH2	HES1	1
IL12RB1	GADD45G	1
IL12RB2	GADD45G	1
NOTCH4	HES5	1
HES1	NOTCH4	1
NOTCH4	HES1	1
NOTCH1	HES5	1
NOTCH2	HES5	1
NOTCH3	HES5	1
NR5A2	CETP	1
CKS2	MYC	1
TP53	PCNA	1
PCNA	TP53	1
TYK2	FASLG	1
FOSL2	LIF	1
CREBBP	ACTA2	1
HDAC1	SERPINE1	-1
E2F1	ETV4	1
EGR1	CXCL8	-1
FOS	CREM	1
FOS	ACTA1	1
E2F1	PLAU	-1
E2F2	PLAU	-1
E2F3	PLAU	-1
NCOA1	ANKRD1	1
NCOA2	ANKRD1	1
MAX	FOSL1	1
NCOA6	ANKRD1	1
NCOA6	GLIPR1	1
NCOA1	GLIPR1	1
NCOA2	GLIPR1	1
TCF7L2	STARD7	1
IL4	ALOX15	1
ESR1	CRH	-1
ESR2	CRH	-1
MED13L	ADIPOQ	1
SIN3A	GP1BA	-1
SIN3B	GP1BA	-1
CDK19	ANGPTL4	1
USF2	ASCL2	-1
USF1	ASCL2	-1
CDK7	CHEK1	1
CDK9	CHEK1	1
LEF1	MT-CO2	1
BRCA1	IGF1	-1
FOXA2	CPT1B	1
FOXA2	CPT1A	1
FOXA2	CPT1C	1
STAT3	ESR2	1
RXRA	UGT1A9	1
APEX1	PTH	-1
MED11	LEP	-1
MED10	LEP	-1
MED17	LEP	-1
HDAC9	NFKB1	-1
MED16	LEP	-1
MED19	LEP	-1
MED18	LEP	-1
MED13	LEP	-1
MED12	LEP	-1
MED15	LEP	-1
MED14	LEP	-1
INTS7	MYB	-1
INTS7	MYC	-1
MED31	LEP	-1
MED30	LEP	-1
BRCA1	FST	1
RXRA	HMGCS1	1
RXRA	HMGCS2	1
MED20	LEP	-1
MED22	LEP	-1
MED21	LEP	-1
MED28	LEP	-1
MED27	LEP	-1
MED29	LEP	-1
MED24	LEP	-1
MED23	LEP	-1
MED26	LEP	-1
MED25	LEP	-1
ARNT	BNIP3	1
USF2	APOA5	1
USF1	APOA5	1
UBE2B	CTNNB1	1
KAT2B	CDKN1B	1
KAT2B	CDKN1A	1
KAT2A	CDKN1A	1
SP1	SLC19A1	1
SP1	SLC19A3	1
SP3	SLC19A3	1
SP1	STARD3	1
TFAP2A	PRKCA	1
MAML3	GZMB	1
MAML2	GZMB	1
CIITA	MMP9	-1
MAML1	GZMB	1
E2F1	TK1	1
TK1	E2F1	1
E2F3	TK1	1
TK1	E2F4	1
GTF2F2	RAD51D	1
GTF2F1	RAD51D	1
ITIH3	GLI1	1
CD247	PRF1	1
ARNT	IGFBP1	1
EAF1	ELL	1
FZD6	GLI2	-1
XBP1	YIF1A	1
STAT3	NME1	1
MYC	GLI2	-1
MYC	GLI1	-1
GTF2H4	RAD51D	1
GTF2H3	RAD51D	1
GTF2H5	RAD51D	1
NMBR	STAT2	1
GTF2H2	RAD51D	1
GTF2H1	RAD51D	1
ARID1A	IGH	1
ARID1B	IGH	1
FOXO4	CDKN2B	1
CDKN2D	FOXO1	1
CDKN2B	FOXO3	1
FOXO3	CDKN2B	1
CDKN2D	FOXO3	1
PLAG1	CRLF1	1
TNRC6A	PTEN	-1
TNRC6C	PTEN	-1
TNRC6B	PTEN	-1
SUPT5H	BRCA1	1
ARNTL	TIMELESS	1
SP1	MMP9	1
SP1	MMP2	1
HIST1H2AM	E2F1	1
MAX	MTA1	1
MSH2	MYC	1
SRF	MMP2	1
NR5A1	CITED2	1
SLC1A5	CTNNB1	1
ELL	BRCA1	1
SPP1	CREB1	1
FOXA1	ABCA1	-1
FOXA2	ABCA1	-1
NR4A1	MMP2	1
IRF1	CEACAM1	1
POU5F1	CDKN1A	-1
TSG101	EGFR	-1
ING4	ARL6IP5	1
VEGFA	S1PR1	1
HBP1	FOXO3	1
ATF1	CCNA1	-1
CCNH	CHEK1	1
CCNK	CHEK1	1
IRF3	ABCC2	1
CDH2	NOTCH1	1
HLA-DRB1	IFNG	1
STAT3	NOS2	1
STAT2	NOS2	1
STAT1	NOS2	1
MYC	MTA1	1
MEF2C	PPARGC1A	1
MEF2D	PPARGC1A	1
PCK2	NR1H2	-1
PCK2	NR1H3	-1
MYC	MTDH	1
TP63	RAB38	1
COPS5	MMP1	1
TRRAP	TERT	1
ARNT	CCNE1	-1
ZBTB17	COL1A2	-1
TP53	RNF144B	1
STAT1	NOX5	1
STAT3	NOX5	1
FOXA1	CDKN1B	1
MAX	MTDH	1
NOP56	MYC	1
NFKB1	GFAP	1
NFIC	FHL5	1
MED4	PCK1	1
MED7	PCK1	1
MED6	PCK1	1
MED9	PCK1	1
MED8	PCK1	1
MED1	PCK1	1
ANKRD1	SMAD6	-1
EP300	NR1H4	-1
ATF4	IGFBP1	1
DAXX	AIRE	-1
EGR1	ACE	1
ACE	EGR1	1
APAF1	E2F1	1
